No,NaptanCode,CommonName
238,73728956,Castle
239,73728246,Castle
240,73728424,Tomaknock
241,73726343,Old Garage
242,73728529,Tomaknock
243,73726373,Broadwell
244,73725849,Whinfield Drive
245,73725857,Green Park
246,73725863,Ross Street
247,73725827,Station Road
248,73725828,Ochil View
249,73725864,Ross Street
250,73725858,Green Park
251,73725852,Whinfield Drive
252,73726374,Broadwell
253,73726329,Well Inn
254,73728232,Quarterbank
255,73757574,Glenogle Court
256,73723763,Kettins Road End
257,73724698,Kettins Road End
258,73745867,Craigens Farm
259,73723542,Corsie Way
260,73723867,Potterhill Gardens
261,73748683,North Ardbennie
262,73769394,North Ardbennie
263,73753729,Ashgrove Terrace
264,73724875,Perth High School
265,73724975,Gannochy Walk
266,73724567,Murray Royal Hospital Turning Circle
267,73724298,Memorial Home
268,73723486,Murray Place
269,73727595,Maple Road
270,73727628,Muircroft Drive
271,73727634,Buchan Drive
272,73726793,Comelybank Gardens
273,73739836,Craigens Farm
274,73724538,Health Centre
275,73724862,Health Centre
276,73736956,Newmiln Farm
277,73762627,Newmiln Farm
278,73726527,Viewfield Place
279,73723658,Viewfield Place
280,73723464,Langside Road
281,73723473,Langside Road
282,73723856,Western Avenue
283,73723528,Spens Crescent
284,73784356,Dilkusha
285,73798672,Dilkusha
286,73725629,Leisure Pool
287,73723535,Leisure Pool
288,73725638,Necessity Brae
289,73723548,Necessity Brae
290,73727469,Sorting Office
291,73727486,Coldrain Road End
292,73727568,Wallacetown Farm Road End
293,73727482,Telephone Box
294,73728783,Innerleithen Way
295,73737674,Broxden House
296,73727483,Telephone Box
297,73723928,Holiday Inn
298,73724834,Holiday Inn
299,73726586,Scarth Road
300,73726725,Cross
301,73726724,Cross
302,73723492,Garry Place
303,73723957,Post Box
304,73724594,Post Box
305,73723962,Birnam Hotel
306,73724585,Birnam Hotel
307,73723948,North Car Park
308,73723893,Bus Bay
309,73724573,Bus Bay
310,73724845,Bus Turning Circle
311,73725874,Church
312,73725873,Church
313,73727523,Hotel
314,73727524,Hotel
315,73723685,Chapel Street
316,73724279,Taybridge Drive
317,73745863,Ferneyfold Farm
318,73723496,West End Car Park
319,73724797,Fishers Hotel
320,73723924,High School
321,73723926,Balnadrum Terrace
322,73725487,Fishers Hotel
323,73727947,Moness Crescent
324,73727949,The Square
325,73727597,Academy Car Park
326,73725848,Lathro Park
327,73727467,Thompson Place
328,73727468,Thompson Place
329,73725829,Primary School
330,73725832,Primary School
331,73727473,Friar Place
332,73727472,Friar Place
333,73725869,Vane Farm
334,73725872,Vane Farm
335,73725868,Bridgend
336,73725867,Bridgend
337,73727354,Hill Primary School
338,73726237,West Crook Way
339,73727368,Marlee Gardens
340,73727367,Marlee Gardens
341,73727365,Telephone Box
342,73727364,Telephone Box
343,73727362,Telephone Box
344,73727363,Telephone Box
345,73727358,Post Box
346,73727359,Post Box
347,73727372,Bus Shelter
348,73727369,Bus Shelter
349,73727346,Essendy Bridge
350,73727343,Church
351,73723698,War Memorial
352,73725436,Spittalfield
353,73727325,Taybank House
354,73727324,Taybank House
355,73727326,Bus Shelter
356,73727327,Bus Shelter
357,73727328,Telephone Box
358,73727329,Telephone Box
359,73726893,Concraigie
360,73726894,Concraigie
361,73727323,Ardblair Medical Centre
362,73727298,Berrydale Avenue
363,73726583,Keathbank Mill
364,73727347,Cluny Court
365,73727295,Bus Depot
366,73727294,Bus Depot
367,73727293,Old Mill Road End
368,73726584,Keathbank Mill
369,73728564,Kinclaven Crescent
370,73728795,Kinclaven Crescent
371,73727292,Dirnanean Lodge
372,73727289,Dirnanean Lodge
373,73727286,Primary School
374,73727285,Primary School
375,73727284,Road End
376,73723794,Post Office
377,73723678,Church
378,73726425,The Square
379,73726356,Kynachan Hotel Road End
380,73726248,Queens View
381,73726247,Queens View
382,73726246,Road End
383,73726245,Road End
384,73726368,Loch Tummel Inn
385,73726367,Loch Tummel Inn
386,73726243,Campsite
387,73726242,Campsite
388,73726365,Caravan Park
389,73726364,Caravan Park
390,73724825,Aldour
391,73726434,Annat House
392,73726432,Annat House
393,73726294,Burnside
394,73725962,Burnside
395,73726426,Telephone Box
396,73726427,Telephone Box
397,73726429,Finnart
398,73726428,Finnart
399,73726439,Tighnabruiach
400,73726437,Station
401,73726438,Tighnabruiach
402,73724798,Phone Box
403,73723769,Church Street
404,73724823,Church Street
405,73728328,Strathallan Village
406,73737264,Strathallan Village
407,73737352,Fonab Crescent
408,73736897,Fonab Crescent
409,73736893,Luncarty House
410,73727983,Golf Hotel
411,73728582,Golf Hotel
412,73728439,Road End
413,73728345,Kinclaven Road End
414,73727982,Kinclaven Road End
415,73728528,The Smithy
416,73728543,Racecourse
417,73726295,Village Hall
418,73726296,Village Hall
419,73725769,Atholl Arms
420,73725768,Atholl Arms
421,73725782,House of Bruar car park
422,73725983,Bus Shelter
423,73725982,Bus Shelter
424,73726928,Old Struan Road End
425,73727282,Post Box
426,73727283,Rhiedorrach
427,73726352,Telephone Exchange
428,73726346,Old Post Office
429,73727579,Willowgate Fishery
430,73723937,Prieston Road
431,73723953,Prieston Road
432,73727278,Arnbog Farm
433,73727274,Kinloch Road End
434,73727275,Kinloch Road End
435,73727868,Spoutwells Farm
436,73727878,Hillocks of Gourdie
437,73727894,Drumellie
438,73727892,The Steading
439,73727874,Easter Essendy
440,73726879,Burnbank
441,73726878,Burnbank
442,73726858,Boatlands
443,73726856,Cranley Farm
444,73726876,Little Fardle Farm
445,73726875,Little Fardle Farm
446,73726873,Village Hall
447,73726874,Village Hall
448,73728959,Kindrogan Centre Road End
449,73726863,Mains of Pittendriech
450,73726872,Tay Farm Cottages
451,73726869,Tay Farm Cottages
452,73726868,Drumbeltie Farm
453,73726867,Drumbeltie Farm
454,73726864,West Drumatherty Farm
455,73726865,West Drumatherty Farm
456,73725963,Maryland
457,73725964,Maryland
458,73726297,Heughfield Road
459,73727547,Primary School
460,73726859,St Stephens Primary School
461,73726849,Craigton
462,73726848,Craigton
463,73728987,Kindrogan Centre Road End
464,73726847,Blackhall Farm
465,73726846,Blackhall Farm
466,73726845,Hatton Road Caravan Park
467,73726595,Craighall Place
468,73726476,Portmoak Primary School
469,73725764,Primary School
470,73725924,Primary School
471,73725925,Bridgefauld Road
472,73725926,Bridgefauld Road
473,73725853,Morlich Place
474,73725854,Morlich Place
475,73724959,Dunning road end
476,73726573,Smiddy Haugh Hotel
477,73727257,Community School Bus Park
478,73725379,Gleneagles Hotel
479,73723248,Moray Institute
480,73725385,Coaching Inn
481,73725384,Millhill Drive
482,73723245,Millhill Drive
483,73723247,Moray Institute
484,73723242,Gleneagles Hotel
485,73726547,Smiddy Haugh Hotel
486,73724265,Dunning road end
487,73723537,South Street
488,73727423,Mill of Peattie Crossroads
489,73727457,Balgersho Road End
490,73727456,Balgersho Road End
491,73727425,Newmill Road End
492,73727424,Newmill Road End
493,73727429,Springfield Road End
494,73728393,South Drop Off
495,73727426,Springfield Road End
496,73727427,Dunsinnan Estate Road End
497,73727428,Dunsinnan Estate Road End
498,73724795,Church
499,73724326,Church
500,73727392,War Memorial
501,73727389,Green Road
502,73727387,Green Road
503,73725243,Highfield Road
504,73724342,Highfield Road
505,73727972,Royal Infirmary Turning Circle
506,73727374,Hillfoot Farm Road End
507,73727373,Hillfoot Farm Road End
508,73727376,Over Buttergask
509,73728476,Larghan Park
510,73727375,Over Buttergask
511,73727379,Ledgertlaw Farm Road End
512,73727378,Ledgertlaw Farm Road End
513,73727384,Saucher Road End
514,73727382,Saucher Road End
515,73723452,Bus Shelter
516,73727386,Flowerdale Road End
517,73727385,Flowerdale Road End
518,73726798,Brands Brae
519,73726732,Gannochy Green
520,73729425,Larghan Park
521,73724382,Charlotte Street
522,73723529,High School Bus Park
523,73727454,Netherlea
524,73727439,Stormontfield Road
525,73727453,Hall
526,73724856,Strathearn Court
527,73727248,Rectory Road
528,73724529,Hospital
529,73727245,Strathearn Community Campus
530,73724254,Visitor Centre
531,73727247,Innerpeffray
532,73727246,Innerpeffray
533,73723754,Kinkell Cottage
534,73724828,Kinkell Cottage
535,73727254,Post Office
